cl	perturbed_node	pearsonr	pval_pearson	spearmanr	pval_spearman	NPERT	PANEL	REP
ras	PI3KActive	0.9994839120024329	9.426500272303243e-15	0.3734080224074693	0.2579878719570162	8	ras	0
ras	Raf1Active	-0.2750279670282204	0.41306423832016986	0.05313139275527819	0.8767055287664923	8	ras	0
ras	C3GActive	0.9999988879477457	9.440113250869108e-27	0.5393598899705937	0.08684229054535089	8	ras	0
ras	SosActive	-0.15860346910465667	0.6413722285884171	0.0	1.0	8	ras	0
ras	P90RskActive	0.9999954427390777	5.3898814200233634e-24	-0.021252557102111273	0.9505456605033478	8	ras	1
ras	AktActive	0.9999976689609565	2.6386758036411285e-25	0.701334384369672	0.016178555199631278	8	ras	1
ras	bRafActive	0.9954497190787277	1.6817233222796439e-10	0.5462962962962963	0.08208285183278619	8	ras	1
ras	MekActive	0.978419299476084	1.8081542148575676e-07	0.5402702026688978	0.08620752080752266	8	ras	1
ras	P90RskActive	0.9999936714983201	2.3619170042354698e-23	-0.042505114204222545	0.9012474983192232	8	ras	2
ras	C3GActive	0.9999976033463812	2.9897629092244587e-25	0.5393598899705937	0.08684229054535089	8	ras	2
ras	bRafActive	0.9961101509911323	8.311727129365174e-11	0.5925925925925926	0.0547085667699449	8	ras	2
ras	SosActive	-0.1519342307290772	0.6556282629488945	0.1009216784699164	0.7678039873783449	8	ras	2
ras	P90RskActive	0.9999941311900116	1.6822327727573633e-23	-0.03187883565316692	0.9258673251131015	8	ras	3
ras	MekActive	0.9851229043391605	3.423492298233978e-08	0.5802902176814089	0.06126129522846285	8	ras	3
ras	PI3KActive	0.9987271532724622	5.471612488312508e-13	0.7934920476158723	0.0035565152271831934	8	ras	3
ras	SosActive	-0.1590662563192637	0.6403869404933096	0.0	1.0	8	ras	3
ras	P90RskActive	0.9999947902743345	9.841881375691116e-24	-0.09563650695950073	0.779697899616551	8	ras	4
ras	Raf1Active	0.2964257344807976	0.37608984434618564	-0.05313139275527819	0.8767055287664923	8	ras	4
ras	bRafActive	0.9947365748476071	3.234792036916597e-10	0.5	0.11730680301423815	8	ras	4
ras	SosActive	-0.15531805867967574	0.648381823484973	0.1009216784699164	0.7678039873783449	8	ras	4
ras	PI3KActive	0.9933102930821259	9.496888776946611e-10	0.37084161383494385	0.26153422472005294	8	ras	5
ras	Raf1Active	-0.34337873286234827	0.3011957561971519	0.052766224216696106	0.8775474042801348	8	ras	5
ras	AktActive	0.9999487396231602	2.8933483154291426e-19	-0.11608569327673143	0.7339346299772067	8	ras	5
ras	C3GActive	0.9999992005099863	2.1383200967977787e-27	0.5393598899705937	0.08684229054535089	8	ras	5
ras	MekActive	0.9987668487742062	4.744834364183534e-13	0.5802902176814089	0.06126129522846285	8	ras	6
ras	Raf1Active	0.23224377840015273	0.4919630283550398	-0.05313139275527819	0.8767055287664923	8	ras	6
ras	AktActive	0.9999944246257892	1.3355007950147647e-23	0.701334384369672	0.016178555199631278	8	ras	6
ras	ErkActive	0.9863997969423238	2.2902884482856832e-08	0.5834500350116707	0.05952998823806007	8	ras	6
ras	PI3KActive	0.9861065265012516	2.5200048435883227e-08	0.7880384293992558	0.003965431455067828	8	ras	7
ras	bRafActive	0.993867399398166	6.426844099136063e-10	0.7332132200228391	0.010244087246647608	8	ras	7
ras	boundEGFReceptor	-0.7542478869707158	0.007318422035354637	-0.8486716274286747	0.0009554356197015319	8	ras	7
ras	P90RskActive	0.9999968700731222	9.93839914931806e-25	-0.021058465757133063	0.9509968383450883	8	ras	8
ras	PI3KActive	0.9948362104393363	2.9686487807514836e-10	0.7862453931068967	0.004107170978877596	8	ras	8
